Review Title;Review Text;wordcount;titleSentiment;textSentiment;Star Rating;sentimentValue
Donde esta el Catal¡n;Con eso esta dicho todo. Y quede claro que no tengo nada contra el idioma de Cervantes (no como otros).;20;positive;positive;2;0.057927909239582936
Imprescindible;Desde que la tengo hace meses que no;27;positive;positive;2;0.07377855452117438
Util;Funciona bien,;9;;positive;3;-0.012039393687097305
vale la pena;A mi me  la encuentro genial.;13;positive;positive;3;-0.015018770703305123
Genial;Por lo menos ;15;positive;positive;3;-0.02203456782761065
Excelente;Te mucho;3;positive;positive;3;-0.036155269731245915
Por fin algo bueno;Esto es lo que hac­a falta;6;positive;positive;3;-0.0484385138839592
Fiable;Es fiable la aplicacin ya lo e comprobado y la recomiendo solo q tarda;20;positive;positive;3;-0.06175483455750447
Muy pr¡ctica;Interesante y funcional;3;positive;positive;3;-0.06548326036342844
Ahora ya funciona;Ahora ya funciona mejor pero la;13;positive;positive;3;-0.0704406232354751
Muy štil;Me .;9;positive;positive;3;-0.07448342800403986
Oki;Mola;1;positive;positive;3;-0.08346704904653583
Mola;Mola;1;positive;positive;3;-0.08346704904653583
A por ellos;Hay que;5;positive;positive;3;-0.08882448599132552
Muy buena;Mola mucho;2;positive;positive;3;-0.08963883232680414
Buena aplicacion;Buena ayuda para u;7;positive;positive;3;-0.09240115128518386
Fiable;Las notificaciones.;15;positive;positive;3;-0.09638654904084853
Su fin lo cumple;La aplicacin es bastante buena para lo que es,;23;positive;positive;3;-0.10042182354190893
Muy buena;Ayuda mucho ;4;positive;positive;3;-0.10649843745783119
por la red;Hay veces que bien otras que t;9;positive;positive;3;-0.1074556652070253
Muy buena;Avisa de todo;3;positive;positive;3;-0.10775523999516728
Muy til;Muy til. Si vais a;8;positive;positive;3;-0.10814371461498165
Me gusta;Es una buena herramienta para;10;;positive;3;-0.11096697038982636
relajada;Da gusto estar ;6;positive;positive;3;-0.11431720347482052
Muy util;;3;positive;positive;3;-0.11613173926055574
La idea esta bien;Hecho en falta un interface;19;negative;positive;3;-0.13794345046074333
bien;B;1;positive;positive;3;-0.139860755685693
Esta muy bien.;.;1;positive;positive;3;-0.139860755685693
Buen­sima;A.,,;1;;positive;3;-0.139860755685693
Y;Ole;1;positive;positive;3;-0.17170072936267156
ES MUY BUENA;A;1;positive;positive;3;-0.2130919859236215
Ahora va genial;Se han solucionado los problemas todo bien;7;positive;positive;3;-0.2274631454462939
Muy buena;Esta chevere;2;positive;positive;3;-0.23629542044756485
Es activa;Es activo e;5;positive;positive;3;-0.24672980955038815
Me gusta;Vai moi ben.vestrelas;4;positive;positive;1;-0.2560262204901055
Parece que mejor.;Ya parece que conecta.;4;negative;positive;3;-0.25611160754397866
Buena;Interfaz horrible pero con buenas aportaciones. Deberian incluir que;17;positive;positive;3;-0.2576389991643603
Si pero con mejoras;;23;negative;negative;3;-0.30049061998663495
muy bueno;Cuabta m¡s mejor;4;positive;negative;1;-0.31181988969029617
Muy bueno;;13;positive;negative;1;-0.348732833470111
Le doy por ahora;Es buena app y muy aconsejable, pero mejorable no funciona la;12;negative;negative;1;-0.35579036269293624
Funcionaba pero;La a±o funcionaba perfectamente tras la tercera actualizacin no funciona en mi wiko rainbow;14;negative;negative;1;-0.3761207999456423
Una pena;La nueva versin  de la vaca.;7;;negative;1;-0.3968495101172904
Problema;Me funcionaba perfectamente, y era super util, ahora derrepente no funciona, me dice que hay un error. Probe a desinstalarlo e instalarlo de nuevo y nada.Es una pena;28;positive;negative;3;-0.40662337811518157
No functiona;Tenis que ponerlo a punto;5;negative;negative;1;-0.43963932618471047
Muy practico;esta muy bien, si de;23;positive;negative;3;-0.4467301899351924
Bien;Se actualiza la;7;positive;negative;1;-0.4656456056672159
Aplicacin aceptable;Buena pero muy mejorable;4;negative;negative;1;-0.4661015340821958
No funciona bien y va muy lento;Fuera de mi casa sin wifi funciona fatal por eso estrellas y haber si arreglais las interferencias;18;negative;negative;1;-0.4937843434171307
Muy buena;Buenas tardes necesito saber como hago para que;20;;positive;3;0.001545803154976988
diversos.;La nueva actualizacin, trae ;5;positive;positive;3;0.004819817714089875
buena arma;Muyyyyy util y beneficiosa;4;positive;positive;3;0.020339695161504356
Impresionante.;Han corregido errores y han conseguido una aplicacin muy muy buena. Buen trabajo chavales, gracias y a seguir mejorando.;19;positive;positive;3;0.034394297057358386
Practica;Resulta practica y util, sobre todo en;17;positive;positive;3;0.0351123421389235
MUY BUENO!!!!;Facil para;12;positive;positive;3;0.0398963636518567
Siempre;Siempre es mejorable;3;positive;positive;3;0.042368593546182276
Perfecto;Ole las buenas aplicaciones para ;9;positive;positive;3;0.04847532327064269
Actualizacin arreglada;Ya funciona correctamente de nuevo;5;positive;positive;3;0.06669354795085583
Buena;La han reparado y funciona bien;6;positive;positive;3;0.07815662120106984
Excelente y muy buena;Sigan as­;2;positive;positive;3;0.08126441115899682
Buena App;Muy util para;18;positive;positive;3;0.10467416228013082
Buena aplicacin;Sitio donde ;4;;positive;3;0.12512618262801434
Hay que hacerla sencillas de usar;Falta desarrollo pero es buena sin duda. Si funcionara con el de;15;positive;positive;3;0.13208709472507923
Va muy bien;Fenomenal para;5;positive;positive;3;0.1362066817120937
Bien;Bien;1;positive;positive;3;0.15190035179953837
Buena;;1;positive;positive;3;0.1531406057644038
Gran aplicacin;Te tiene al;6;positive;positive;3;0.15743590695210297
Perfecto;Hace lo que dice, va bien;6;positive;positive;3;0.1606161692201734
Muy precisa;Correcta en sus puntos;4;positive;positive;3;0.17065059065492616
Ayuda;Falta precisar;16;positive;positive;3;0.19001489537875332
es maravillosa;si todo el;12;positive;positive;3;0.20119861104954473
Esta muy bien;Sobre todo para los que;9;positive;positive;3;0.21267373358731967
Muy practico;Mientras nos tomemos;11;positive;positive;3;0.2182298800874059
Interesante y eficaz;Vale la pena descargarla;4;positive;positive;3;0.23771686243040357
Incre­ble;;8;positive;positive;3;0.238395932002064
Espero que;Espero que con esta nueva actualizacin vuelva a sus origenes. Recomendable;11;positive;positive;3;0.24471265082844584
estupendo ya corregido;mejor que las que e privado;6;positive;positive;3;0.2468685639154956
Es buena,a mejorar!!!;Si avisara por;8;positive;positive;3;0.28367333153992996
Muy buena apk.;Perffectoo....;1;positive;positive;3;0.28822360929798374
Ahora si;Por fin an puesto por;10;positive;positive;3;0.2972720086344186
Muy buena;Util;1;;positive;3;0.29744333319453975
Me gusta;Es una ayuda;3;;positive;3;0.2977907584894947
Jose;Es verdad lo que cuenta...;5;negative;positive;3;0.3015209006692449
eficaz;A mi me gusta.si;22;positive;positive;3;0.30842387138567967
Buenisima!;Muy precisa;2;positive;positive;3;0.3104676549447563
Ahora si va mucho mejor;La nueva actualizacin funciona bien. Ahora s­;7;positive;positive;4;0.10711075562158764
Ahora si. Todo perfecto;Es muy til y funciona muy bien. El nico problema que tenia es que no me funcionaba;38;positive;positive;2;0.13676550040935065
Muy util;Pero lo ideal solo seria;49;positive;positive;2;0.14560205757193667
Ahora va muy bien.;Hace tiempo se hizo una actualizacin con la cual dejaba de funcionar, ahora han vuelto a actualizarlo y vuelve a funcionar como antes, perfectamente, muchas gracias.;28;positive;positive;2;0.157160061233533
No esta nada mal;Soy de y tiene bastantes;52;negative;positive;2;0.19329080459562248
Practica;Muy util para los que;17;;positive;4;0.19928278219322493
Es una gran aplicacion!;Es muy practica para aquellos que;34;positive;positive;2;0.2145432505538597
Mucho mejor;Seguid as­, la aplicacion ha mejorado mucho desd aquella actualizacion q casi se la carga. Ahora es todo configurable, ademas de ser mas rapido el funcionamiento.;49;positive;positive;2;0.22681934668879733
Me gusta pero........;le dare las 5 estrellas, cuando consiga;16;negative;positive;4;0.23671299974719007
Ahora si;Haber kon anterioridad le di 1 * xke su version no me gustaba la veia un poko;42;positive;positive;2;0.26409099099319566
Buena;Anda ya los;22;;positive;4;0.27299127768796616
FUNCIONA;Me funciona bastante bien;4;positive;positive;4;0.3159142897489563
Mal usada;La aplicacion es perfecta. Lo ke veo incorrecto es;42;negative;positive;2;0.3195760966430152
jorge;Gracias a los creadores de la app y a las personas que;27;positive;positive;2;0.35809490388507426
Luis Miguel;Sinceramente es una App,muy buena,la verdad;35;positive;positive;4;0.3972941362709064
Me meti y me;buena aplicacion espero que no cambie;17;positive;positive;4;0.4009862986582935
Pep Vich;Muy util para la gente q;16;positive;positive;4;0.4723618536219514
Muy til;Cuando est¡s tanto tiempo  esta aplicacin lo hace. Felicidades.;21;positive;positive;4;0.5114589565782479
Hay que darle;Es muy til;16;positive;positive;4;0.5130354559770571
Cre que es muy interesante; lo m­nimo es agradecrselo;21;positive;positive;4;0.5288740718201562
Estupendo;Va de lujo, para tener;21;positive;positive;4;0.5819337314075256
Est¡ bien;Buena app, habr­a q depurarla un poco pero van en buen camino.;12;negative;positive;4;0.7433646662511416
Genial;Me parece fant¡stica me esta siendo sper til por diversos motivos e intento;25;positive;positive;4;0.8083844566577392
Genial esta versin;Cumple las expectativas y en;25;positive;positive;4;0.8135213140892275
Me encanta!;Buenisima aplicacin, la deber­an de tener  Muy recomendable.;30;positive;positive;4;0.8709106029180158
Genial!;Una aplicacin muy buena, lo nico que cambiar­a ser­a  Por lo dem¡s perfecta;19;positive;positive;4;0.9115975679701867
Muy buena;Siempre viene bien....;4;positive;positive;5;0.31941155594564963
aora si;Gracias;3;positive;positive;5;0.33554752905825097
Genial;Hasta la fecha  La recomiendo;9;positive;positive;5;0.340635632699804
Ya funciona;;1;positive;positive;5;0.340837500179434
Hoy por hoy la mejor;La mejor app de  de todas;9;positive;positive;5;0.34492867716290615
Nada mal...muy buena...;;2;positive;positive;5;0.3730127762637939
Funciona muy bien;Es perfecta,al menos en.;5;positive;positive;5;0.3772858629714271
Ok;Ok;1;positive;positive;5;0.4105840889977529
Muy buena;A ver si as­ nos podemos l;12;positive;positive;4;0.4169960651198418
Jose;Tendria q funcionar tambien sin sonido,solo con vibracion;8;positive;positive;5;0.43601232889025476
buenisima;funciona como un tiro indispensable para;13;positive;positive;4;0.458069977730335
Genial;Va de lujo con la actualzacion;6;positive;positive;5;0.46259171937988186
Psima actualizacin;Antes iba de lujo, ahora falla siempre;7;negative;positive;5;0.47537761398081535
Muy buena;Despus de los ltimos arreglos va muy buen, espero que no tropiecen.;12;positive;positive;4;0.5020110593028815
Excelente.!;Realmente til.!;2;positive;positive;5;0.5313428364649476
Magnifica;Lo mejor;2;positive;positive;5;0.5565330772558457
Excelente;Para saber;11;positive;positive;4;0.5907584355916051
Desde que an Actualizado;Esta muy bien la aplicacion;5;positive;positive;5;0.5983660634855417
Guena;Esta muy bien a ver si es verdad os doy 5 estrellas;12;positive;positive;4;0.6265411347953563
Util a tiempo real;De gran ayuda cuando;5;;positive;5;0.6340958807855093
Mejorado;Va mejorando su funcionamiento. Buen trabajo;6;positive;positive;5;0.644796831841997
Muy buena;Bastante til para;8;positive;positive;5;0.6474717935270584
Muy util;Me gusta;2;positive;positive;5;0.6507921259936814
Muy buena;La aplicacin funciona de maravilla;7;positive;positive;5;0.6516914337116528
Buena aplicacion;Est¡ bien, aun puede mejorar. Gracias un gran trabajo;9;positive;positive;5;0.660120247655165
muy util;perfecta para;12;positive;positive;4;0.6642221183609911
Me parece una gran aplicacin;Es muy til para las;11;positive;positive;5;0.6665217815523699
Me a gustado;Buena app para;5;positive;positive;5;0.670468060537199
Buena;Pues eso....muy buena......;3;positive;positive;5;0.6801670421347353
Muy buena;Aunque orientativa...... Y de buena ayuda;6;positive;positive;5;0.6818796304787703
george;Por ahra util;3;negative;positive;5;0.6819368123322846
Actualizacin no funciona;Con la nueva actualizacin q puedes elegir dise±o est¡ perfecta;10;negative;positive;5;0.6930388877217459
Perfecta;Ahora est¡ muy bien;4;positive;positive;5;0.6946132881913312
Fant¡stico;Una estupenda aplicacin;3;positive;positive;5;0.7036848999693831
buena;;2;;positive;5;0.7274064792791561
Grande!!;Gran aplicacin,;2;positive;positive;5;0.7290006586523401
Muy buena;Especially buenisima;2;positive;positive;5;0.7364849716820878
arreglado;el nuevo update va muy bien.;6;positive;positive;5;0.7775944112834658
Muy buena;Buena aplicacin;2;positive;positive;5;0.7892840992683733
Buena.;Buena aplicacin.;2;positive;positive;5;0.7892840992683733
Muy buena;Aun la estoy probando pero de momento me gusta;9;positive;positive;5;0.794210584136167
Perfecta;Por fin. 5 estrellas y cien por cien recomendable;9;positive;positive;5;0.7964592393297233
Muy util;Es muy buena y de utilidad;6;positive;positive;5;0.8250062267641357
Buena;esta muy bien as­ nos;10;positive;positive;5;0.8486203812383325
buena y necesaria;Perfecta en su fabricacion. Guncioma de diez y;12;;positive;4;0.8769455680589548
Buena;Esta muy bien..;3;positive;positive;5;0.9502445375291844
Muy completa;Esta muy bien;3;;positive;5;0.9502445375291844
Ahora va bien;Cambios para mejor solucionados muchos problemas .va muy bien la aplicacin.gracias;11;positive;positive;4;0.9703495487273479
de utilidad;Muy buena, y muy util para;9;;positive;5;0.9833436469925811
Buena herramienta;Me parece genial.;3;;positive;5;0.9845039874196955
Magnifica;Es de las mejores app que e probado y es;15;positive;positive;4;0.9875334198695158
