Transaction ID,Order ID,Customer ID,Product Name,Sub-Category,Category,Discount,Order Date,Order Day,Order Month,Order Weekday,Order Year,Quantity,Segment,State,Profit CLP,Sales CLP
18820-116491-27067,116491,18820,OtterBox Commuter Series Case - iPhone 5 & 5s,Phones,Technology,0.2,2017-11-11,11,11,Saturday,2017,2,Consumer,Texas,9590,27400
13435-108903-16709,108903,13435,Convenience Packs of Business Envelopes,Envelopes,Office Supplies,0.2,2014-10-03,3,10,Friday,2014,5,Consumer,Ohio,3806,11276
13225-155481-6610,155481,13225,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Phones,Technology,0.4,2016-09-01,1,9,Thursday,2016,2,Corporate,Pennsylvania,-3736,18681
20770-105963-5745,105963,20770,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Accessories,Technology,0,2016-11-15,15,11,Tuesday,2016,3,Corporate,California,31734,77400
17875-134992-17372,134992,17875,"Westinghouse Floor Lamp with Metal Mesh Shade, Black",Furnishings,Furniture,0,2015-09-22,22,9,Tuesday,2015,2,Home Office,Virginia,8594,37364
14890-150875-12667,150875,14890,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture,0,2015-11-16,16,11,Monday,2015,2,Corporate,Idaho,124738,542337
12010-128818-6714,128818,12010,Bady BDG101FRU Card Printer,Machines,Technology,0,2016-05-07,7,5,Saturday,2016,5,Consumer,New York,903339,3114961
18130-115504-2542,115504,18130,Xerox 218,Paper,Office Supplies,0,2016-03-12,12,3,Saturday,2016,2,Corporate,Louisiana,4844,10093
14035-114195-29541,114195,14035,GBC Standard Therm-A-Bind Covers,Binders,Office Supplies,0.7,2014-11-01,1,11,Saturday,2014,3,Corporate,Ohio,-13973,17466
10240-101049-5009,101049,10240,"Stacking Tray, Side-Loading, Legal, Smoke",Furnishings,Furniture,0.2,2017-06-21,21,6,Wednesday,2017,5,Consumer,Ohio,1919,13955
20335-161718-10222,161718,20335,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs,Furniture,0.1,2015-12-04,4,12,Friday,2015,2,Consumer,New York,53214,281724
15970-151295-7349,151295,15970,Xerox 1974,Paper,Office Supplies,0,2014-11-12,12,11,Wednesday,2014,2,Consumer,California,4564,9314
13885-133102-21781,133102,13885,Belkin Premiere Surge Master II 8-outlet surge protector,Appliances,Office Supplies,0.8,2017-08-17,17,8,Thursday,2017,4,Home Office,Texas,-77177,30265
16795-162103-9842,162103,16795,XtraLife ClearVue Slant-D Ring Binders by Cardinal,Binders,Office Supplies,0.8,2016-11-13,13,11,Sunday,2016,2,Home Office,Illinois,-3663,2442
15850-150147-1105,150147,15850,Ibico Recycled Grain-Textured Covers,Binders,Office Supplies,0.7,2016-04-25,25,4,Monday,2016,2,Consumer,Pennsylvania,-10759,16139
14335-107741-15570,107741,14335,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Art,Office Supplies,0.2,2015-03-08,8,3,Sunday,2015,1,Corporate,Colorado,697,2654
20650-124919-496,124919,20650,Southworth 25% Cotton Antique Laid Paper & Envelopes,Paper,Office Supplies,0,2015-05-31,31,5,Sunday,2015,7,Corporate,California,20459,45463
13765-135776-14802,135776,13765,Staple envelope,Envelopes,Office Supplies,0,2016-12-23,23,12,Friday,2016,2,Corporate,Washington,23643,48251
20365-100111-18197,100111,20365,"TOPS ""Important Message"" Pads, Canary, 4-1/4 x 5-1/2, 50 Sheets per Pad",Paper,Office Supplies,0,2017-09-20,20,9,Wednesday,2017,9,Consumer,New York,14099,29997
14425-141138-22184,141138,14425,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Accessories,Technology,0,2017-11-10,10,11,Friday,2017,7,Consumer,California,33952,87056
16795-155768-27479,155768,16795,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Envelopes,Office Supplies,0,2016-12-01,1,12,Thursday,2016,3,Home Office,California,8746,17849
12565-135580-17966,135580,12565,2300 Heavy-Duty Transfer File Systems by Perma,Storage,Office Supplies,0,2015-12-30,30,12,Wednesday,2015,3,Consumer,California,11088,58360
12925-134747-8783,134747,12925,Samsung Rugby III,Phones,Technology,0,2015-10-12,12,10,Monday,2015,4,Consumer,Indiana,55501,205559
11845-131828-9530,131828,11845,"Logitech B530 USB Headset - headset - Full size, Binaural",Phones,Technology,0.2,2017-02-11,11,2,Saturday,2017,3,Corporate,Washington,6049,69134
18385-147830-9547,147830,18385,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",Furnishings,Furniture,0.2,2015-12-15,15,12,Tuesday,2015,7,Consumer,Ohio,53735,204705
19120-126977-17604,126977,19120,Avery 485,Labels,Office Supplies,0,2015-09-17,17,9,Thursday,2015,7,Consumer,New York,32103,68304
12595-120516-14482,120516,12595,3-ring staple pack,Binders,Office Supplies,0,2015-08-13,13,8,Thursday,2015,3,Consumer,Georgia,2108,4392
10705-145387-12715,145387,10705,GBC Recycled VeloBinder Covers,Binders,Office Supplies,0,2014-10-31,31,10,Friday,2014,2,Consumer,Rhode Island,12208,26540
19810-148285-28238,148285,19810,Easy-staple paper,Paper,Office Supplies,0.2,2014-10-27,27,10,Monday,2014,3,Home Office,North Carolina,3141,9308
15400-165316-2638,165316,15400,Zebra GX420t Direct Thermal/Thermal Transfer Printer,Machines,Technology,0.5,2016-07-23,23,7,Saturday,2016,1,Corporate,Florida,-86830,206739
11440-151946-25970,151946,11440,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",Appliances,Office Supplies,0,2014-06-04,4,6,Wednesday,2014,4,Consumer,New York,3151,12117
10075-125451-25564,125451,10075,KI Adjustable-Height Table,Tables,Furniture,0.3,2017-10-23,23,10,Monday,2017,4,Corporate,Rhode Island,-10713,187479
13390-154466-20165,154466,13390,Wilson Jones Easy Flow II Sheet Lifters,Binders,Office Supplies,0,2017-01-01,1,1,Sunday,2017,2,Home Office,Wisconsin,1346,2804
18040-113208-16788,113208,18040,"Career Cubicle Clock, 8 1/4"", Black",Furnishings,Furniture,0,2017-03-26,26,3,Sunday,2017,3,Corporate,Michigan,18004,47379
18865-128328-20011,128328,18865,Premium Transparent Presentation Covers by GBC,Binders,Office Supplies,0,2017-08-05,5,8,Saturday,2017,6,Consumer,Indiana,47054,98029
16345-121468-4587,121468,16345,Square Credit Card Reader,Phones,Technology,0.2,2017-11-19,19,11,Sunday,2017,4,Consumer,California,1867,24895
11110-137302-23735,137302,11110,Newell 345,Art,Office Supplies,0,2015-04-26,26,4,Sunday,2015,3,Corporate,California,12051,46351
17275-105599-12482,105599,17275,Anderson Hickey Conga Table Tops & Accessories,Tables,Furniture,0.4,2015-09-07,7,9,Monday,2015,3,Consumer,New York,-11030,21349
16870-111283-11442,111283,16870,Newell 34,Art,Office Supplies,0.2,2016-02-29,29,2,Monday,2016,7,Consumer,Ohio,6489,86522
11230-141551-16915,141551,11230,Avery Heavy-Duty EZD View Binder with Locking Rings,Binders,Office Supplies,0,2016-09-24,24,9,Saturday,2016,1,Consumer,Oklahoma,2285,4968
18700-105459-28207,105459,18700,Chromcraft Round Conference Tables,Tables,Furniture,0.4,2016-08-12,12,8,Friday,2016,2,Consumer,New York,-51577,162874
18175-167661-14616,167661,18175,Xerox 1951,Paper,Office Supplies,0,2017-10-05,5,10,Thursday,2017,2,Home Office,California,21713,48251
10210-153983-13276,153983,10210,Staples,Fasteners,Office Supplies,0,2014-11-29,29,11,Saturday,2014,5,Consumer,California,11837,23674
17980-117667-16441,117667,17980,Xerox 1956,Paper,Office Supplies,0.2,2017-12-04,4,12,Monday,2017,5,Corporate,Pennsylvania,6753,18628
20800-135167-8689,135167,20800,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Art,Office Supplies,0,2017-06-15,15,6,Thursday,2017,1,Consumer,California,1360,3317
10240-149958-1938,149958,10240,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",Furnishings,Furniture,0.2,2014-03-15,15,3,Saturday,2014,3,Consumer,Florida,4003,35586
12340-117240-2401,117240,12340,Angle-D Ring Binders,Binders,Office Supplies,0.2,2017-07-23,23,7,Sunday,2017,3,Corporate,New York,3323,10223
15700-117079-3937,117079,15700,Wilson SignalBoost 841262 DB PRO Amplifier Kit,Phones,Technology,0.2,2017-10-23,23,10,Monday,2017,3,Consumer,Florida,84093,672747
19840-136686-16663,136686,19840,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Appliances,Office Supplies,0,2016-12-12,12,12,Monday,2016,3,Consumer,California,12324,44015
13225-122756-1271,122756,13225,Lexmark MarkNet N8150 Wireless Print Server,Machines,Technology,0.7,2015-12-03,3,12,Thursday,2015,4,Corporate,Pennsylvania,-262936,375622
11605-123960-9144,123960,11605,"SlimView Poly Binder, 3/8""",Binders,Office Supplies,0,2015-06-11,11,6,Thursday,2015,7,Consumer,Louisiana,12989,28237
10375-158064-3591,158064,10375,ACCOHIDE Binder by Acco,Binders,Office Supplies,0.2,2014-04-21,21,4,Monday,2014,5,Consumer,California,4342,12865
18325-117135-2174,117135,18325,Luxo Professional Magnifying Clamp-On Fluorescent Lamps,Furnishings,Furniture,0,2014-06-21,21,6,Saturday,2014,1,Consumer,Virginia,11340,80998
16510-138023-9929,138023,16510,GBC Durable Plastic Covers,Binders,Office Supplies,0.8,2014-08-15,15,8,Friday,2014,8,Consumer,Texas,-40987,24110
20665-157966-16587,157966,20665,Col-Erase Pencils with Erasers,Art,Office Supplies,0.2,2017-03-13,13,3,Monday,2017,4,Home Office,Illinois,1705,15151
10705-104731-19844,104731,10705,Regeneration Desk Collection,Furnishings,Furniture,0,2017-07-21,21,7,Friday,2017,5,Consumer,Virginia,3015,6853
14080-104129-13692,104129,14080,i.Sound Portable Power - 8000 mAh,Phones,Technology,0,2015-02-27,27,2,Friday,2015,2,Corporate,Rhode Island,825,82532
13285-117884-25842,117884,13285,Logitech G602 Wireless Gaming Mouse,Accessories,Technology,0.2,2015-03-22,22,3,Sunday,2015,7,Consumer,Florida,69767,348836
13030-131954-2329,131954,13030,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,Office Supplies,0.2,2017-01-21,21,1,Saturday,2017,4,Home Office,Washington,7342,21755
13405-140949-7510,140949,13405,Lumber Crayons,Art,Office Supplies,0,2017-03-17,17,3,Friday,2017,6,Consumer,New York,17489,46024
20770-140144-8376,140144,20770,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Furnishings,Furniture,0,2015-06-20,20,6,Saturday,2015,6,Corporate,California,78248,200637
20080-164882-6517,164882,20080,Acme Tagit Stainless Steel Antibacterial Scissors,Supplies,Office Supplies,0,2015-10-31,31,10,Saturday,2015,3,Consumer,California,6245,23129
17770-137589-12101,137589,17770,Compact Automatic Electric Letter Opener,Supplies,Office Supplies,0.2,2014-11-03,3,11,Monday,2014,3,Consumer,Pennsylvania,-50173,222990
17470-103772-29827,103772,17470,GBC Recycled Regency Composition Covers,Binders,Office Supplies,0,2015-06-28,28,6,Sunday,2015,2,Home Office,Georgia,42829,93107
13030-131954-2323,131954,13030,Wilson Jones Century Plastic Molded Ring Binders,Binders,Office Supplies,0.2,2017-01-21,21,1,Saturday,2017,6,Home Office,Washington,26203,77638
13450-158512-5602,158512,13450,Xerox 195,Paper,Office Supplies,0,2017-01-12,12,1,Thursday,2017,6,Home Office,District of Columbia,14982,31212
20545-102134-26900,102134,20545,Westinghouse Clip-On Gooseneck Lamps,Furnishings,Furniture,0,2016-03-14,14,3,Monday,2016,2,Corporate,Wisconsin,3389,13036
20860-163881-11828,163881,20860,Global Leather Executive Chair,Chairs,Furniture,0.2,2016-11-24,24,11,Thursday,2016,6,Corporate,California,164000,1312001
13690-114860-28049,114860,13690,Magnifier Swing Arm Lamp,Furnishings,Furniture,0,2016-12-22,22,12,Thursday,2016,2,Consumer,California,8496,32676
21250-129364-11091,129364,21250,Acco Side-Punched Conventional Columnar Pads,Supplies,Office Supplies,0.2,2014-12-08,8,12,Monday,2014,5,Consumer,Oregon,-2027,10809
14035-151162-16641,151162,14035,Large Capacity Hanging Post Binders,Binders,Office Supplies,0.7,2014-12-05,5,12,Friday,2014,4,Corporate,Ohio,-18653,23316
18565-144267-2478,144267,18565,Xerox 1974,Paper,Office Supplies,0,2015-08-21,21,8,Friday,2015,4,Home Office,California,9128,18628
12310-120936-14823,120936,12310,Fiskars Spring-Action Scissors,Supplies,Office Supplies,0,2017-12-17,17,12,Sunday,2017,1,Corporate,California,2831,10887
17080-118731-1800,118731,17080,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Binders,Office Supplies,0.2,2017-11-20,20,11,Monday,2017,7,Consumer,California,21274,65459
18895-147578-5700,147578,18895,Ultra Door Pull Handle,Furnishings,Furniture,0,2016-04-22,22,4,Friday,2016,3,Consumer,California,8111,24577
16465-158456-8927,158456,16465,Avery Hole Reinforcements,Binders,Office Supplies,0.2,2015-12-24,24,12,Thursday,2015,4,Consumer,California,5628,15525
18145-108574-7333,108574,18145,Logitech G19 Programmable Gaming Keyboard,Accessories,Technology,0,2017-10-07,7,10,Saturday,2017,9,Consumer,California,156423,869015
15070-100545-5232,100545,15070,GBC Durable Plastic Covers,Binders,Office Supplies,0.7,2015-11-22,22,11,Sunday,2015,2,Consumer,Pennsylvania,-7233,9041
12250-139080-19119,139080,12250,Xerox 212,Paper,Office Supplies,0,2017-01-23,23,1,Monday,2017,4,Corporate,Washington,9689,20185
15070-140501-6420,140501,15070,Avery 52,Labels,Office Supplies,0,2016-06-23,23,6,Thursday,2016,5,Consumer,New York,6753,14368
12760-104976-2747,104976,12760,Xerox 1987,Paper,Office Supplies,0,2014-12-09,9,12,Tuesday,2014,6,Corporate,California,13233,27007
14185-160486-27821,160486,14185,Embossed Ink Jet Note Cards,Paper,Office Supplies,0.2,2016-12-30,30,12,Friday,2016,4,Consumer,Florida,19686,56244
16885-145583-414,145583,16885,Xerox 195,Paper,Office Supplies,0,2016-10-13,13,10,Thursday,2016,3,Consumer,California,7491,15606
16210-159506-22985,159506,16210,Xerox 1909,Paper,Office Supplies,0,2017-11-27,27,11,Monday,2017,6,Corporate,Indiana,56700,123261
11035-120901-18113,120901,11035,Stockwell Push Pins,Fasteners,Office Supplies,0.2,2015-12-31,31,12,Thursday,2015,2,Consumer,Texas,441,2716
12085-167402-19975,167402,12085,"Hon Metal Bookcases, Black",Bookcases,Furniture,0,2017-01-13,13,1,Friday,2017,3,Corporate,Missouri,41457,165827
16510-117457-1310,117457,16510,Sony 64GB Class 10 Micro SDHC R40 Memory Card,Accessories,Technology,0,2017-12-08,8,12,Friday,2017,5,Consumer,California,29429,140136
13480-132297-9274,132297,13480,Google Nexus 5,Phones,Technology,0,2017-05-27,27,5,Saturday,2017,3,Home Office,Kentucky,105125,420502
21910-100013-3844,100013,21910,Dax Clear Box Frame,Furnishings,Furniture,0,2017-11-06,6,11,Monday,2017,1,Consumer,California,2311,6798
10285-149706-18837,149706,10285,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Accessories,Technology,0.2,2017-12-11,11,12,Monday,2017,7,Corporate,Illinois,18116,90578
13960-119697-512,119697,13960,Lenovo 17-Key USB Numeric Keypad,Accessories,Technology,0.2,2015-12-28,28,12,Monday,2015,2,Consumer,Pennsylvania,1059,42352
11575-105102-7106,105102,11575,GBC Twin Loop Wire Binding Elements,Binders,Office Supplies,0.2,2015-09-15,15,9,Tuesday,2015,3,Corporate,New York,23325,62200
13825-122035-7058,122035,13825,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Office Supplies,0,2017-07-20,20,7,Thursday,2017,2,Corporate,South Dakota,87536,324209
17920-121013-20756,121013,17920,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Tables,Furniture,0,2016-09-05,5,9,Monday,2016,3,Consumer,Virginia,244573,1287227
21280-130624-13270,130624,21280,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Appliances,Office Supplies,0,2014-06-21,21,6,Saturday,2014,3,Consumer,New York,20921,46491
12475-163146-25802,163146,12475,Imation Clip USB flash drive - 8 GB,Accessories,Technology,0,2014-05-16,16,5,Friday,2014,3,Consumer,California,2635,43922
19870-142776-27622,142776,19870,Wilson Jones Easy Flow II Sheet Lifters,Binders,Office Supplies,0,2017-12-11,11,12,Monday,2017,3,Home Office,Iowa,2019,4205
21010-147788-7804,147788,21010,Self-Adhesive Removable Labels,Labels,Office Supplies,0,2015-05-31,31,5,Sunday,2015,5,Consumer,Utah,5887,12265
12340-108098-4601,108098,12340,WD My Passport Ultra 500GB Portable External Hard Drive,Accessories,Technology,0,2016-10-14,14,10,Friday,2016,3,Corporate,Washington,23433,137839
14830-166184-23644,166184,14830,"#10 White Business Envelopes,4 1/8 x 9 1/2",Envelopes,Office Supplies,0,2017-03-24,24,3,Friday,2017,3,Corporate,New York,17206,36609
12010-128818-6696,128818,12010,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Binders,Office Supplies,0.2,2016-05-07,7,5,Saturday,2016,7,Consumer,New York,24061,66374
12940-104626-8560,104626,12940,"Global Value Steno Chair, Gray",Chairs,Furniture,0,2015-09-01,1,9,Tuesday,2015,1,Home Office,Massachusetts,11825,47301
16225-137463-27175,137463,16225,Avery 475,Labels,Office Supplies,0,2017-12-16,16,12,Saturday,2017,3,Corporate,California,17288,34577
19390-142769-26093,142769,19390,Acme Value Line Scissors,Supplies,Office Supplies,0,2014-09-13,13,9,Saturday,2014,2,Consumer,Washington,1705,5685
16555-153815-15003,153815,16555,"Executive Impressions 14"" Contract Wall Clock",Furnishings,Furniture,0.2,2016-11-06,6,11,Sunday,2016,2,Corporate,Florida,4501,27699
19855-154326-5475,154326,19855,Samsung Galaxy S III - 16GB - pebble blue (T-Mobile),Phones,Technology,0,2015-02-15,15,2,Sunday,2015,2,Corporate,Wisconsin,152631,545109
20620-118087-3793,118087,20620,Samsung Galaxy Note 2,Phones,Technology,0.4,2017-09-09,9,9,Saturday,2017,7,Corporate,Pennsylvania,-300902,1504512
15190-155103-20189,155103,15190,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Binders,Office Supplies,0.2,2016-12-02,2,12,Friday,2016,3,Consumer,New York,8917,27437
14110-116561-15754,116561,14110,GBC Standard Therm-A-Bind Covers,Binders,Office Supplies,0.2,2016-09-11,11,9,Sunday,2016,2,Consumer,California,10091,31050
17740-101868-17359,101868,17740,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",Binders,Office Supplies,0.7,2015-06-09,9,6,Tuesday,2015,5,Consumer,Florida,-33330,49996
14095-161669-2657,161669,14095,Ibico Plastic and Wire Spiral Binding Combs,Binders,Office Supplies,0.2,2016-11-07,7,11,Monday,2016,4,Corporate,California,6827,21008
16645-157749-776,157749,16645,Xerox 1957,Paper,Office Supplies,0.2,2016-06-04,4,6,Saturday,2016,5,Consumer,Illinois,7317,20185
17800-157931-7020,157931,17800,Global Ergonomic Managers Chair,Chairs,Furniture,0,2017-09-17,17,9,Sunday,2017,4,Home Office,Georgia,146576,563753
16330-120404-24049,120404,16330,Tensor Brushed Steel Torchiere Floor Lamp,Furnishings,Furniture,0,2017-11-20,20,11,Monday,2017,3,Corporate,New York,7145,39693
12655-140410-4609,140410,12655,Coloredge Poster Frame,Furnishings,Furniture,0,2015-11-03,3,11,Tuesday,2015,3,Home Office,California,12938,33175
19015-122973-29256,122973,19015,"Plantronics CS 50-USB - headset - Convertible, Monaural",Phones,Technology,0,2015-07-18,18,7,Saturday,2015,1,Consumer,New York,28594,105902
18565-150609-21759,150609,18565,Fellowes Black Plastic Comb Bindings,Binders,Office Supplies,0.2,2017-04-30,30,4,Sunday,2017,5,Home Office,California,5882,18098
10270-103058-22401,103058,10270,Case Logic 2.4GHz Wireless Keyboard,Accessories,Technology,0,2014-07-23,23,7,Wednesday,2014,2,Consumer,New York,6229,77859
20050-129238-15063,129238,20050,AT&T 1080 Phone,Phones,Technology,0.2,2016-01-31,31,1,Sunday,2016,1,Home Office,California,6401,85345
12880-159982-871,159982,12880,Logitech Mobile Speakerphone P710e - speaker phone,Phones,Technology,0.2,2015-11-28,28,11,Saturday,2015,6,Corporate,Illinois,44149,504555
18730-115364-2745,115364,18730,Eldon Shelf Savers Cubes and Bins,Storage,Office Supplies,0,2017-06-26,26,6,Monday,2017,12,Consumer,California,1305,65228
12670-163139-875,163139,12670,Sabrent 4-Port USB 2.0 Hub,Accessories,Technology,0,2017-12-01,1,12,Friday,2017,3,Consumer,New York,5393,15863
17320-143434-8806,143434,17320,"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",Furnishings,Furniture,0,2017-11-18,18,11,Saturday,2017,4,Home Office,Michigan,6463,15388
11965-134649-8610,134649,11965,Newell 311,Art,Office Supplies,0,2017-01-26,26,1,Thursday,2017,7,Corporate,Alabama,3253,12047
17245-135307-1693,135307,17245,Executive Impressions Supervisor Wall Clock,Furnishings,Furniture,0,2017-11-26,26,11,Sunday,2017,3,Consumer,Missouri,31474,98356
11335-105046-13659,105046,11335,Southworth 25% Cotton Premium Laser Paper and Envelopes,Paper,Office Supplies,0,2017-07-17,17,7,Monday,2017,5,Home Office,New York,37343,77797
16690-119102-15317,119102,16690,Advantus Rolling Storage Box,Storage,Office Supplies,0,2015-05-23,23,5,Saturday,2015,3,Corporate,Rhode Island,10818,40067
13075-166240-14224,166240,13075,Holmes HEPA Air Purifier,Appliances,Office Supplies,0.8,2016-06-24,24,6,Friday,2016,2,Corporate,Texas,-15265,6784
12490-128608-29242,128608,12490,SanDisk Cruzer 4 GB USB Flash Drive,Accessories,Technology,0.2,2015-01-12,12,1,Monday,2015,2,Corporate,Ohio,1718,8087
11680-132626-11149,132626,11680,Fellowes Powershred HS-440 4-Sheet High Security Shredder,Machines,Technology,0,2015-07-09,9,7,Thursday,2015,3,Consumer,Maryland,162943,362095
10090-119865-15717,119865,10090,"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Binders,Office Supplies,0.2,2016-06-21,21,6,Tuesday,2016,6,Consumer,New York,47112,144960
16465-112669-6066,112669,16465,"Fellowes Personal Hanging Folder Files, Navy",Storage,Office Supplies,0.2,2016-04-14,14,4,Thursday,2016,4,Consumer,Arizona,3347,33468
16060-168123-14316,168123,16060,Advantus Map Pennant Flags and Round Head Tacks,Fasteners,Office Supplies,0,2017-03-05,5,3,Sunday,2017,2,Consumer,Minnesota,1969,6152
13765-138450-15374,138450,13765,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Envelopes,Office Supplies,0.2,2014-10-18,18,10,Saturday,2014,6,Corporate,Pennsylvania,15335,40894
20185-120411-26727,120411,20185,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Bookcases,Furniture,0.3,2014-09-20,20,9,Saturday,2014,5,Consumer,Illinois,-54894,384259
16525-142993-23812,142993,16525,Kingston Digital DataTraveler 16GB USB 2.0,Accessories,Technology,0,2015-10-12,12,10,Monday,2015,2,Consumer,Washington,2649,13940
12910-101672-23844,101672,12910,Xerox 1900,Paper,Office Supplies,0,2016-10-03,3,10,Monday,2016,2,Home Office,California,3000,6666
15490-106334-13749,106334,15490,Bevis Steel Folding Chairs,Chairs,Furniture,0.2,2014-12-27,27,12,Saturday,2014,3,Consumer,California,17933,179331
19735-126074-2390,126074,19735,Avery Durable Binders,Binders,Office Supplies,0,2017-10-02,2,10,Monday,2017,1,Consumer,Michigan,1099,2243
19135-134558-22688,134558,19135,Logitech diNovo Edge Keyboard,Accessories,Technology,0,2015-12-19,19,12,Saturday,2015,9,Home Office,New Hampshire,402987,1752117
20470-165799-27120,165799,20470,Office Star - Mesh Screen back chair with Vinyl seat,Chairs,Furniture,0.1,2015-06-29,29,6,Monday,2015,1,Consumer,New York,1020,91801
16405-112305-18785,112305,16405,AmazonBasics 3-Button USB Wired Mouse,Accessories,Technology,0,2015-11-20,20,11,Friday,2015,2,Home Office,Washington,4681,10887
19480-166688-27402,166688,19480,Motorola L703CM,Phones,Technology,0.2,2017-05-20,20,5,Saturday,2017,9,Consumer,Nevada,54665,874636
16885-157448-28886,157448,16885,Eldon Image Series Black Desk Accessories,Furnishings,Furniture,0,2017-11-16,16,11,Thursday,2017,3,Consumer,California,3482,9672
18640-162187-17928,162187,18640,"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",Chairs,Furniture,0.3,2016-12-11,11,12,Sunday,2016,5,Corporate,Ohio,-107101,357002
